"","DEK1.bam","DEK2.bam","DEK3.bam","DEK4.bam","DEK5.bam","DEK6.bam","DEK7.bam","DEK8.bam"
"Mrc2",0.170760413301147,0.360417441162753,0.539144794210174,0.639482657527064,0.0322206675764487,0.0582235645621697,0.118156305394005,0.486911012271478
"March10",0.0955997244452004,0.49527490255135,0.172479232380598,0.195279556251475,0.324695659137924,0,0.1984483994638,0.865892301775973
"Tanc2",1.28451290007368,0.751942929748568,0.549913858268981,0.333539951252777,0.961279438357616,0.890798131811536,0.74117586115295,0.898328222249012
"SNORA25",0,0,0.176418572873241,0.798958579527641,0,1.00022333442295,0,0.393630601932178
"Cyb561",0.827199704468392,0.952330157850406,0.692908456678562,1.02589142485039,0.468251268225883,0.785703223534032,0.735909730499476,1.12979764336744
"Ace",0,0,0,0,0,0,0,0
"Kcnh6",0,0,0.0845056440137937,0,0,0,0,0
"Dcaf7",8.11549377505369,7.0155387738392,6.39616429315189,6.95085346983444,7.02789347281177,6.81583069590244,5.60362915729134,5.7601112979128
"Taco1",1.89458962212794,1.33294583223381,0.759596247321329,1.3975139273133,1.90660715726792,2.26096995595142,0.961360525455595,1.05927171948526
"Map3k3",38.4751195150053,43.0670262487985,31.7898372982796,21.6164032365682,31.5588944040225,27.2113767708991,26.8035281373888,25.3521025958752
"Limd2",39.4292505420294,48.5792346678145,36.4423762934314,31.9339208664476,19.5786283548595,30.7090402605279,42.1590365881315,26.1755755730271
"Strada",16.6910246621463,15.6241226931233,15.2678939211864,11.3913555227335,17.3070833102809,13.4830696454119,15.8019252566046,12.7159546000838
"Ccdc47",17.6982144259281,17.4086712848428,12.9828474622739,20.0125881764279,21.1377073420863,17.4569365383542,17.0773070738577,15.4625059654021
"Ddx42",15.1087985352533,12.3732689682953,11.9082536689438,12.6074603284976,17.3697278460723,16.6895672305706,13.5152921462157,11.6390995460698
"Ftsj3",24.8190355073069,25.1855109498672,20.9364880488685,21.7760319467471,19.3609507903954,25.0466019831211,20.8846177432761,22.5747771076561
"Psmc5",233.677494154367,250.477249556643,156.878298334346,162.668401008447,193.403406389505,213.364411164111,205.262821677685,190.116246001529
"Smarcd2",26.6372760755988,23.9384365542459,25.7495753121083,22.0535838587867,24.097755946702,22.4018952011031,27.9919675115356,20.5543964022527
"Tcam1",0.457003226558087,0.131533519818502,0,0.408411030104735,0,0,0,0.0574902249486231
"AC133055.1",0,0,0,0,0,0,0,0
"Gh1",0,0,0.353273285605254,0,0.443362758295459,0.600875822657052,0,0
"Cd79b",0,0,0,0,0,0,0,0
"Scn4a",0,0,0,0.0697467074382874,0,0.0931376233231892,0,0.0229085204458301
"2310007L24Rik",0.497619089232556,0.763858534987865,2.39412010935833,2.71060292949692,1.12674493652678,1.18769974998495,2.47912961776221,3.00478229118908
"Icam2",3.95150203653243,6.28866293890872,4.71787012562702,1.8992118838368,3.1578618177053,2.13987618721741,7.72012320848753,6.54992080104313
