"","DEK1.bam","DEK2.bam","DEK3.bam","DEK4.bam","DEK5.bam","DEK6.bam","DEK7.bam","DEK8.bam"
"Samd5",1.40344421459026,0.955254785227947,1.45533021516804,0.720283707075224,1.65350038638288,1.49246874897299,2.14923316542736,1.90301145113652
"RGD1562402",0,0.321778194699349,0,0,0,0,0,0.879127739022252
"Stxbp5",1.86987600739206,1.55232318615795,2.07339278258814,1.95368921174602,2.04022492348866,1.92942367236389,2.56760502696376,1.7429138124515
"AABR07000200.1",0,0,0,0,0,0,0,0
"Adgb",0.0368585345961654,0.127006856856984,0.722380909878369,0.0785772650573306,0.209374095425916,0.0979914456980703,0.619132471565602,0.192774699999184
"Rab32",26.3984965801586,25.0299814662327,46.3205798010634,35.568670254606,27.124073853823,22.7906994044313,44.1341970640421,40.3517183387428
"SNORA17",0.0567703578528136,0.0281973139140251,0.103100626706706,0.0408873312561224,0.0400924524450866,0.0685297724421244,0.0779799271760549,0.0417287353096449
"Grm1",0.0562815238010298,0,0,0.0399947914551118,0.0852549222888075,0,0.032321052458775,0.156991647264156
"AABR07000220.1",0,0,0,0,0,0,0,0
"AABR07000222.1",0.461421548072851,0,0.215316235042687,1.96737302138194,1.04843798372635,0.736036281430532,0,0.482658366522021
"Shprh",0.7396984954104,0.722173436539131,1.25987223513404,2.1879962390069,1.02945105495977,1.9862147803084,0.844270314930253,1.27667585932593
"Fbxo30",2.98743826367691,1.53020285601568,2.82577373344387,3.18440126363263,4.58650739917719,5.83870078270159,1.32148343023976,2.19589985467567
"SNORA70",0.265966035228616,0.138858141183541,0.135392200103434,0.128864219245664,0.219754795019796,0.0257124574308817,0.479040504483564,0.101166203481731
"Epm2a",0,0,0,0,0,0,0,0
"SNORA31",0,0,0,0.565998084612957,0,0,0,0
"AABR07000248.1",0,0,0,0,0,0,0,0
"SNORA73",2.84648354530913,1.28797056805351,0.684262223792771,2.89623728318484,2.59690158031786,2.75185840641472,2.11763206132057,2.30078949092995
"Utrn",4.6246331574264,4.36621726917788,2.51374180011159,3.40192228687484,4.09929453920648,1.81587213895254,2.24138655857353,2.38152901565192
"Stx11",8.15978244020271,5.18143709106856,5.32452438537646,5.86922027131004,7.61219177292655,7.61916388506972,4.34308137093663,7.56383302266915
"Sf3b5",114.886188702476,82.4737398183767,108.068488491783,145.325175341722,161.086900603573,153.683755307402,108.359687578551,126.258547867218
"AABR07000257.2",0,0,0,0,0,0,0,0
"Plagl1",5.18607204386146,3.65088624696797,3.07055237556135,4.66610064638778,4.65648078435809,3.82494683691269,2.97822971490984,2.91653752282264
"Zc2hc1b",0,0,0,0,0,0,0,0
"AABR07000261.1",0,0,0,0,0,0,0,0
"Ltv1",7.81094591991825,10.1521105599215,13.8760997911019,12.1967493550959,12.9996042061105,12.022445454494,7.08257091306792,10.5355710725176
"Phactr2",12.3608047803477,16.9770110484833,8.3010447037983,6.90158730637515,11.7396975747267,8.2068603264508,7.21117140901347,15.3925094275498
"Fuca2",9.48569233941043,12.9662384839239,17.4859996840027,12.8686572387395,8.10475583089248,10.5042318976779,11.8852203515153,12.4643380466583
"Pex3",6.50759049223415,6.87059363207214,10.3063100661773,11.9113995079479,14.114376711087,14.0504802997102,8.83325007172214,10.3825477111343
"Adat2",0.684808170552565,0,0,0,0,0.48549835847446,0.196633986695845,0.238775435289994
"AABR07000276.1",0,0,0,0,0,0.288550911168783,0,0
"Aig1",41.2895923508443,28.161936958342,63.6286768158399,41.3886099373225,39.5567529557261,40.0315620078602,51.6629489862015,47.8616952453044
"Hivep2",2.78282132361424,2.78493119397482,4.13998460144556,3.42151715997734,2.97373615448089,2.30008400069388,2.52769379534262,3.11264556794425
"LOC100912436",0,0,0,0,0,0,0,0
